Rating,Comment
3,"Well, it certainly does few things but way to go. I don't understand with all the money and talent Amazon has, why they didn't provide simple skill to under stand simple commands like Enter/Select, Go up, Go down etc. so that we can use it proper remote.Pros:1. Lots of fun. You can roast your friend by setting simple routine which can be activated by customized voice phrase and it will respond with your customized messages.2. You can control your TV, FireStick etc but in a limited way.3. Can ask for time while half asleep...it provides many other simple features and some of them are useful too.Cons:1. Doesn't recognize Select, UP, Down and other navigation command. So cannot replace you fire TV remote.2. Misses the command now and then.3. Difficult to give voice command while there are other sounds around like if you are watching TV of listening to music. That's very frustrating as you cannot pause video if sound coming from TV is high."
2,"Within 3 months of purchasing the sound has begun to distort, even at 5 or 6 level I can here unusual sound. I don't know what to do. My return window is already closed.Secondly, song searching on Gaana app is very poor. I am very fond of Riya's Retro, but Alexa can search only season 1 and moreover it doesn't recognize different episodes of season 1 either. Means if you have already gone through 4-5 episodes of Riya's Retro and want to listen to the next episode, you have to start from episode 1 and then have to skip the episode you have already gone through. It takes hell lot of time to play the next episode after you give the voice command ""Next"".AMAZON SHOULD REPLACE MY ECHO DOT."
4,"I'm very happy with my purchase.Initially it feels little bit weird talking to a speaker but you get used to it.Later on talking to Alexa becomes a part of your daily life.✅Things which I like the most are stated below:👍The sound quality is very good.👍You get good depth of sound.👍You can ask any random questions to Alexa.👍It can speak and understand Hindi and English languages.👍It does play all musics from all languages.👍It can tell jokes.👍I also played KBC with Alexa.❌Things which I don't like are:👎Sometimes it is unable to understand what you said.👎Most of time Alexa reply ""Sorry"" because she don't know the answers of our command/questions.👎It is a good music player but poor assistant.👎It plays certain songs again and again and doesn't let you skip.👎You have to set a play list in your phone or device from which you are operating Alexa. Otherwise you will keep on saying ""Alexa play this song. Alexa play that song.""👎If you won't set any playlist it will stop after every song.👎It is not battery powered.👎has to be kept plugged in all the time."
1,"Writing again since I am totally unsatisfied with Alexa and it became a useless item for me . Unable to add skills pertaining to choice of music . When i bought Alexa, lot of expectations , but it is not at all impressive on various areas, like when I ask Alexa to play malayalam songs , based on movies,singers,by song name, it is always gives an answer sorry I could not see any song. Same stands with Tamil and to an extend hindi songs as well.Google Home is much smarter and better choice than Aelxa. I strongly suggest if Amazon is not fixing this basic issues and needs of many in India, you may always got a better option 'Google Home'."
1,I used hardly six months and getting crack sound from speaker. It happened to couple of other friends too. And service is very pathetic. I have booked service and no one called me back. Better to go for Google one which is very reliable. This is not for long term usage. Amazon making fools with duplicate products.
5,"Simply great product. Well built and very worth it. The voice recognition is great and works as intended most of the time. It keeps getting better as you use it. The sound really surprised me for its size. It's definately not a premium sound but it's still very bassy and loud, and full volume there is noticible disturbunce. The home automation part is what really makes this worth it though. I have my lights, tv and ac connected (using oakter remote) and ofcourse it's also an alarm, an intercom, a music player, a smart assistant and so much more. Life changing tech this is. I also like that you can command it in hindi and english. The conversations to be had are funny and almost natural. Software updates can/should make it even better. Wish it also had battery back up though, that's its biggest flaw. Soon I'll connect many other electronics in my house to alexa by way of smart switches."
5,What a product.. U think of a song and say it.. Alexa actually can play the exact song to the 100% accuracy.Sound quality is awesome with this small sized powerpack. Romantic and slow songs music are just lovable. Although if u like badhash or some hip hop music. U can use an additonal speaker and connect this to it..Mics are quite sensitive and can take orders from other room. Only at high volume u need to yell still not but a concern though.Product build quality excellent.Just an amazing product. U will sure love it.Day 10 and still exploring it. My kid loves to interact with it and ask almost anything and he is excited.
5,"It’s an amazing product to have, especially the integration with your google calendar and tons of skills to play around with. Though hoping there will be more better software updates, butIt’s a bang on product for the price. Bought wipro bulb and echo dot together for 2449Rs and then returned the wipro bulb and got back 700Rs. So got the Alexa for just 1750Rs, which is truely a bang on for a smart assistant and a Bluetooth speaker ;)"
3,"I like Alexa and the features. But rated 3 due to the below facts.- No inbuilt battery. A big minus. In today's mobile world, you cannot enforce the device to be plugged in always.- No USB charging facility- Alexa app is horribly slow- The moment your wifi connection changes, it cannot detect. You need to reconfigure itPlus features- Device shape is great- Sound quality is superb- Voice response is awesome"
1,"The product has intermittent issue while connecting with Phone for playing videos sound.  Spoke with Amazon Tech support, they went ahead with raising replacement after some troubleshooting. Now, they picked the device. Though no replacement update.  Nothing in the app which indicates that the product has been picked up or replacement has been sent.Moreover the device itself dont have connectivity with ZOOM app and for calling  in India. Though the feature is available in other countries through Echo Connect feature.Hope they will sent the replacement."
1,"Alexa is horribly wrong and Dumb..I made a mistake by not buying google mini speaker..Alexa has no answers...It is a stupid speaker..I know u need to enable the skills and all that..However, it is still a very bad Assistant..Fully disssatisfied..Audio quality is good but one can buy a simple bluetooth speaker at 1/3rd the cost rather than messing ur mind up with such an incapable AI speaker.. It cannot answer 90% of your questions.Used with Fireststick: limited usage and that too with limited apps.Will still need the remote anyway. Not much useful with Firestick.I strongly suggest please Buy google home mini instead..Audio may be a bit less but the google assistant is amazing.."
4,"We purchased Gen3.  The voice of assistance is too heavy. No equalizer settings.  App has a very poor design and functionality.  Sound of music is rich, but very poor in high frequency (treble), bass is good as per the size of speaker.  Overall, good to hear music.  AI is just okay, has very limited AI features, Mobile's Google voice is way more intelligent in answering questions.  Good for wakeup alarms and listening music.  Apps like spotify is very poor as opposed to Advertisement shown.  Youtube selects better song lists rather than Amazon's music or Spotify.  Gaana is still better, but way behind Youtube.  Crux: If you have a small and good quality speaker system, just pair with your mobile and it shall be better; more better if use an old phone as no sms & phones shall disturb.  These smart speakers are always listening (except for mute) ... always leaves me in doubt."
2,"Everytime I connect to the device it says playing from and mentions my device name. This comes at high volume as this volume can only be controlled through the device. But this doesn't end here. Alexa shouts playing from and my device name everytime. If I lock my system and re-login then it shouts this message. If I stay idle and don't move my mouse for 5 mins and then move it then I get this mesaage again. Sometimes it happens when I am playing videos as well. A video will be playing and suddenly Alexa shouts playing from and my device name. Unfortunately even though I tried many things to get rid of that, I wasn't able to get rid of this sound till now. When I connect to Alexa speaker for the first time it doesn't connect properly and it plays with breaking sounds. This happens many times and I have to keep disconnecting and connecting it back till it works properly. Overall it is a fine speaker but there are too many problems that I face everyday with it."
1,"This device refused to set up because the Alexa app just didn't work on my mother's phone. I had bought this for her. I even tried signing out of the Alexa app on my phone and then tried logging into her account on my phone and as soon as I would log in, the app would go blank.I'm still confident that there is nothing wrong with the Echo device but there is a problem in the Alexa app. More specifically there is a problem with my mother's account on the Alexa app. Unfortunately there is no way to fix this or talk to any kind of customer support. Customer support is a chat bot which has a preset list of questions that you need to select. There is no way to get any support for the app.My suggestion would be to stay away from such 'dumb' smart speakers. Amazon US is very helpful, because the laws in  that country require them to be. Amazon in India sucks when it comes to Alexa app support, because there is no way to talk/ chat to someone who can check the account.Its strange that my worst purchase from Amazon is actually an Amazon product and not something sold by a listed seller."
5,"In a word... Just fabulous...Not that much works in queries like Google. But GK level is quite good.For music it's outstanding.Voice recognition, sound quality, the LED ring ... All experiences are just awesome.Don't know about Home assistance, didn't try but didn't work to call or message on any number. Whom you are calling need to be added with your Alexa Profile. Of course you won't give access to outsiders. It's only use for family members only. So it's not useful that much.But After all these ifs & buts... Me & my family members like it very much.."
2,"I bought this as a productivity tool- during the pandemic while I drift between office work and housework, I need something to remind me of upcoming tasks or meetings.  It fails terribly due to lack of  thinking by the designers.1. This devise should require  a password or PIN or recognize the voice of the person before proceeding further.  It should not allow anyone to hijack your device- in my case my 7 year old, who keeps fiddling with the reminders  or moving it away from a central location to his room. ( don't tell me you can't do voice classification, then at least ask a PIN ). For me the device is useless now, as I may not even hear it and important reminders may get removed. 2. The India model at least has no working profanity filter, my son plans music with profanity and there is no way to restrict access.3. Searches sometimes fail miserably- it is not recognition, the problem is the content that is being searched for an answer.  Google's device is probably is stronger here with search results4. The reminders should  have an option to repeat till I turn it off by saying ""acknowledged' or 'done'"
5,"My perception about ambient computing changed after I bought this alexa device and Iam loving this device.Alexa's voice is a bigger USP , such a soothing voiceBest WFH home companionLook up alexa skills and you will be facinated how many thousand skills it has,Check out Alexa skills in amazon website & in alexa mobileAlexa is a platform and Amazon making it better everydayThese are early days of ambient computing and no assistants are perfectYou can use google assistant from ur phone via bluetooth to get essential from google assistantSpeaker Sound quality is decent and won't  hurt your ears.Amazon adding more songs to  Amazon music and if you have prime subscription you are gonna enjoySpotify integration with Alexa is intuitive with free spotify accountWe can set out Alexa routines and blueprint feature is awesomeIOT connectivity  is seemlessAlexa reads news from Ndtv , TOI, ET, and more.Alexa market share is more than google nest,so developers line up for alexa than googleThank you amazon for creating this best Alexa speakerMuch loveAlexa user"
3,"This review is after using echo dot gen 3 more than 2 months. While there are both Pros and Cons, this is a good device to enter into connected devices world.Pros:1. Good looking gels nicely with the environment.2. LED ring gets your attention when in need.3. Good sound quality on playback.Cons so far:1. Sound is muffled for the responses from Alexa, you can't make out clearly on what it says most of the time. No fix yet { reduced one star because of this. }. Due to this issues it's being used as just a music player most of the time.2. Compared to Google Mini, Alexa's search contextual hits are lower.3. Was unable to get Follow-up working properly."
3,"The integration with other app is difficult and many times it unable to perform well with voice recoginitionFlaws:1.Its difficult to pair it with smart switch and bulbs.i was not successful,in doing so2.voice recognition sucks3.the help provided ia not good at all.not a good assistqnt.4.cannot plqy music or video from yputube5.no proper help for automating6.cannot use it as output speaker with my projector7. Simple automation scripts for pairing should be provided as a sample so that ppl can directly reuse them8.it only search songs from limited platforms.that huge disappojntmentNot satisfied at all.Only thing that I like is sound of speaker"
1,"A great device to get started, echo dot is a great device to first know your requirement. Alexa is integrated well enough but the voice recognition will give you trouble in later stages as it fails to recognise simple regular commands after a while, you will only see the blue light which after taking no action will turn off and resume the ongoing task. Many times it will disappoint and embarrass you, can only hope it to get better in future.Update:After using it for 1 year i would say it isn't that good of a device, now out of 10 times calling itout, it wouldd hardly respond twice. May be they have made the 4th gen better in this aspect but this device if you're even getting at a discounted price of 1k, don't bother. Not worth your money."
5,"Got a sweet prime day combo deal on this and this is my second purchase of this device. For the price and the ease of use and integration, I am very happy with it. I only wish it had a chargeable feature to go alongside it to make it truly portable but I guess Amazon has other devices which cater to that need.I really haven't used the offerings from google and apple in this category so will not compare but just for itself, this device is a charm."
4,"Hello,I purchased this from somewhere else.. After using it for a while, i noticed the amazon music service doesn't work at all. I was under the impression that amazon music, which is freely available with echo devices would work. After trying for hours to make it work i gave up, Alexa replied that ""She couldn't find anything"" whenever i tried to play something on amazon music. The only service that works good so far is Hungama Music. I am saying this after testing all the other services like Gaana, JioSaavn, Spotify etc... Gaana works as well but it has some issues... Spotify also works but lacks many songs.Aside from that, the mics are good but only till the volume medium, because high volume makes the device hard to hear us. Anything over volume level 6 is bad, and Alexa won't hear us unless we shout at her. I really liked the 2nd gen which had 7 mics yet this one only offers 4.. which is a downside for me. Hardware wise the sound quality is good until the volume level 8, but anything over that makes the sound distort and would be a pain to hear it.Alexa is on the other hand is good to talk to, she (It) can play music, tell jokes, read stories, sing songs, set alarms, set reminders, control smart devices etc... with the bonus of human like speech. This was the factor made me buy this. But on the downside she lacks too much intelligence compared to her counter part Google assistant.. She can't even answer the basic questions and just forwards us to Wikipedia. I hope amazon continues to improve Alexa.So as a new buyer which one to buy? Alexa or GoogleIf you don't care about how the assistant speaks, (robotic speech vs human like speech) then go for Google assistant speaker. Because Google and Alexa devices can both can do the job for smart homes. But Google uses their vast database infrastructure for information so obviously it will have upper hand in this department.But if you care about how your speaker speaks then go for Alexa.. without thinking anything.If you care about information then go for Google assistant else Alexa should be your preference."
5,"Sound Quality was unexpected from such a small device with a single small speaker. I enjoy FM radio (through skill) everyday. This is very useful as analog FM reception in our area is very bad. Through skills it reminds me of my medication.  Command detection is mostly accurate. But when searching for music, it plays wrong songs at times may be because of the very limited music collection with amazon. Pairing with a second Bluetooth speaker using ""discover"" command is not working unless you remove the already paired device using Alexa app. I wish the alarms and reminders had user programmable/uploadable bells/voices as there is only one sound in the alarm settings."
5,1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.
2,"Echo Dot is a good speaker and voice recognition is quite impressive. However, Alexa integration is still in the development phase. So be prepared to get frustrated.If you are someone who loves the old classics, you will find Alexa very disappointing. And don't forget, you need Amazon Music's premium account to be able to stream music on Echo Dot. That also means, Akexa will play only that music which is available on Amazon Music. I'm not a big fan of Amazon Music. It does not have much of my kind of music.Alexa also plays from Jio Savn and Hungama. So getting Alexa to play some music is not always a simple task to perform. And a lot of times, you want Alexa to play an album you saw on Amazon Music or Hungama but the voice assistant fails to find it!I don't have complaints about operating smart appliances with Alexa though. It's totally fun.Edit-1: It has been five months since I started using Echo Dot and I still can't easily find the music I love. On this Independence Day I tried to get Alexa play some classic patriotic songs like ""Jahaan Daal Par Sone Ki..."" but no matter what words I used, Alexa kept playing a playlist called ""Ai Watan"" which seemed to have all new songs, none of which I liked. Clearly, the music that Alexa offers has been selected by Amazon keeping in mind today's teens. And this won't change.Update: January 10, 2021Almost two years since purchaseThe device is still as good as it was when bought. However, it seems Amazon has made no efforts to improve their music libraries. Their focus is still only to cater to the youth, not those who love soft soulful music. When I ask Alexa to play songs of Md. Rafi, for example, she will only play noisy ones like ""Chaahe koyi mujhe jungle kahe..."". She will never include songs like ""Ik haseen shaam ko dil mera kho gayaa..."" even if the song is available in Amazon Music. The Amazon team thinks only college goers listen to its music. This is one of the reasons why I can not recommend Amazon's voice assisted speakers to friends."
5,"Sound quality is good,fast response,easy to use.it is a good product and for those who are not much aware about the technology they can also operate easily.you can listen news and if you are feeling bored alexa can tell you good jokes.i m also using wipro smart bulb with Alexa and it is working awesome.i found only one issue sometimes alexa does not respond I think because when we give command from long distance I mean because of mic but overall good product."
1,"It is useless device and waste of money it only work with registered WiFi with amazon not with in coming signal of the Alexa app computer or mobile , no one else in the house can use it if registered WiFi is not available and at the same time we can not register two ,three signals . Alexa becomes use less when there is no internet , and there are lot of restrictions like hand free not available when in battery saver mode etc etc . at many a times it can not understand your voice and there are many app's missing in window computer .if i instruct it to teach Gramer to children it can not do . what a useless device it is , i even wanted to buy Fire TV stick but lots of them in used market ,hence i thought there must be some problem like this in that also hence stopped its purchase .My advice to Amazon is make it user friendly . do not restrict to one WiFi signal ,Take the in coming signal or allow us to register two ,three signal there should not restrict Hand free etc .With RegardsRavishankar"
3,"Excellent service provided by the device.. Only problem is with Eco dot 3rd generation device that it’s only launch an app but never plays a video, especially YouTube.. This feature is a very basic one and should be added with this device which will enhance the product services overall.. Please take it as a consideration. Also it should be connected to atleast 2 Firesticks or 2 TV’s in a single home.. This should be the minimum. I am very much sure, if these two features could be added with this device, it will enhance the overall service of the product and will reach to many other people in India and thus increase the sale of the product.."
2,"Expensive, Smart speaker works only when plugged in. Bluetooth V2.0 is very old dur to this audio is very poor, sound becomes very low. No battery to support the speaker so if no power you cannot use the device. Sometimes while song change you hear a distorted sound. Not worth the purchase as Bluetooth quality in the speaker is bad. You need to shout then only Alexa can hear you - voice sensor is poor. On full volume Alexa will not recognise your command."
4,"My only disappointment is that it does not have battery and when power goes off it dies.Sound quality is very good, good bass but not like woofer.It can be used as Bluetooth speaker. But not sure if Bluetooth earphones works with it. Will update about it later."
2,"This review is especially for those sitting on the fence .I’ve been using Google Nest and minis and wanted to shift to Echo for its Drop in feature basically .(the full intercom) . It worked fine. But overall Alexa was disappointing. Even after having 4 mics the voice recognition was only a tad better than Google. The sound is natural but artificially natural, a little muffled as well.The app is poor. What takes less than a minute to setup on Google Home it takes over 3-4 minutes on alexa app. I have over 40 smart devices in my home and the time it needed merely setting up those devices was a bummer. Echo or Alexa is is just popular because Amazon sells it while Google devices are not marketed that much."
1,"Better go for Google home..- cannnot make/accept phone calls (only Alexa calls)- cannot place orders on prime now- connected to Samsung smart TV via smart things skill and it can only do basic control like on/off,volume control.-technical customer care is not that good for any support issue.Free Wipro smart light isn't really smart..once power resumes after a power cut you need to switch it off again via app/Alexa.Only worthy use of echo is unlimited music from Amazon music."
2,"I was very excited about this purchase and very happy that I got delivered one day advanced and I tried setting up Alexa but ended up unsuccessful for almost 6 hours. Then decided to call Customer service I requested for call back on 7.05pm evening and I call from them on 7.06pm which was amazing and prompt service. The Agent whom I spoke to was Mr. Sami, he was so polite, professional and spoke to for 45 minutes and finally came to know by the agent that the product which I got was reported as stolen or missing product, So that is why I couldn't complete the set up process. I was completely surprised & confused that how come a very big firm like Amazon can deliver a stolen product to their customers and the agent managed to replaceml the product and he gave me end to end service. I was happy with customers service not with Amazon service"
4,"After 3 months here are the things which I found.Works better if you have connection of minimum 20 mbps.I have started to get few bugs or software issue.Alexa listens sometimes by itself and says, 'sorry, I don't know that.'Sometimes songs stops playing in middle by itself.It doesn't recognise voice even after activating it many times.After command it doesn't follow.Disconnects and reconnects network by itself.The sound has decreased, now at volume level 3 I can't hear music properly after 3 meters range. (Have same background noice of fan/Vehicles)Amazon please send a software update which solves these.Thanks!"
4,"The Echo Dot 3rd Gen is comparatively good that than it's predecessor. The sound quality is improved, however there are two things that I would like to being to the notice of it's manufacturer or would say the developers rather. The bluetooth connectivity is no good. it's very difficult to connect to any other bluetooth device. Now coming to the main part of the Echo : voice recognition or rather would say it's integration. The Indian voice is a disaster. Half of the time you will have to repeat even for the simpler terms and words. Half disappointed, else it's good."
5,"So i know why you guys are here for.Omg why should i buy amazon echo instead of google home??So good for you here's the answer.I'll not tell you about things you know and everyone's talking about like it's mic and speakers are awsome, it's very localised etc.I'll tell you why you need this if you want this for home.1. This has communication features so people having alexa app or echo device and permission can actually call you on your echo dot.2. This has announcement features so if you are late for dinner you can announce that on your echo device from your phone.(Actually i use this feature to play ghost sounds when little kids are in my room😝)3. This has best features for home automations that google home or any other devices don't have.4. This has best features for timer tasks.5. Scheduling is much more advanced in alexa app.6. If you say turn on light in front of your kitchen echo dot it will turn on only kitchen lights. so you don't have to be specific like turn on kitchen lights like google home.(you need multiple echo devices for this as obvious)So forgot about google home and just buy it."
5,"Sidhi si bat he iska pure use to sirf jo total sirf computer job vale hi kar shakte he baki to sab sholh k liye lete he,baki normal speakers ki tarah hi use hoga sound limited he ek room k hisab se, baki special search nahi karta kuchh only Amazon, Amazon prime music ,hungama,jese 3 se 5 platforms ko hi use karta he,baki puchho ge to javab milega iske bare me mobile app m jaye ,bss baki shokh pura karo baki naya kuchh nahi lagega"
1,This is useless device.0) it is not listening command properly. And we have to speak loudly.1) It is not connecting through Bluetooth to desktop. After a long research and hard setting it is connected and if we would change any song than audio is not coming. I am frustrated.2) Always need connectivity with internet / Bluetooth to operate any device.3) not playing music easily wherever we want.4) don't waste money if don't have 24 hours internet connection and related smart device.5) from desktop PC it is not connecting from cable and even from Bluetooth adaptor.So please please don't waste your money on it.Not a smart device it is useless device.
1,"Bad software! Alexa is not smart at all.voice recognition is not accurate most of the times but more than that Alexa interpretation leaves lot to be desired. Alexa is a just NLP and works on plain if else or a switch condition rather than being smart device. No where follows the user pattens, voice patterns and the people to come up with suggestions. Most of the times you get fed up with the results and then switch off the device. Mostly none of the songs I want will be played, I end up using it for casting the music from the phone, which anyways normal Bluetooth speaker will do at a less price.Hardly any useful tricks as they call it!Just works as voice command based device rather than a smart speaker!"
5,I got a discount of 1000 for this product during some flash sale and got the product at Rs. 2499. It originally costs 3499. So to buy at this price is a awesome deal. I really appreciate amazon for selling products cheaper than the original cost. These are very friendly and reliable devices that can help you to track any orders or set up an alarm or sing a song on any occasion. Every thing I tried and it works wonder. Definitely a must buy for young people who want to be smart in their day to day activities.
3,"Very nice product, this was my first experience with alexa, overall recognisation and sound quality is good , but it is not pairing with my  VU smart TV.Pros:Sound quality was too goodNo lag or delay in responseCons:-Should work with DC power also with battery backup, always we have to connect with AC power.-Without current you can't use this echo dot- listed very few Android TVs (example VU smart tv is not in the list)-Should enhance on 'Schedule to play any song by scheduled time"
